#,קוד פריט,ספק,קטגוריה,שם מוצר,תיאור,יחידה,מחיר אר-אל,מחיר לאחר הנחה,תיאור נוסף,
526,801747,נתון חסר,מוצרי ניילון,שקיות ניילון 50*70 בגליל 1/20 LD לבן,ארוז 20 יח',יח',0,0,,
527,801750,נתון חסר,מוצרי ניילון,שקיות ניילון 70*50 שקוף מרשרש 1/100 *בגליל HD,ארוז 100 יח',יח',0,0,,
521,801710,נתון חסר,מוצרי ניילון,שקיות ניילון 70*55 לפח תלוי 1/50 שטוח HD,ארוז 50 יח',יח',0,0,,
523,801740,נתון חסר,מוצרי ניילון,שקיות ניילון 90*75 שחור HD מרשרש ,ארוז 50 יח',יח',0,0,,
472,711051,נתון חסר,מוצרי ניילון,שקיות סנדוויץ 150 יח' LD (זוג),ארוז 2 יח',יח',0,0,,
533,801797,נתון חסר,מוצרי ניילון,שקית גופיה 30*60 לבן 1/30,ריק,יח',0,0,,
534,801799,נתון חסר,מוצרי ניילון,שקית גופיה צבעונית קטנה 1/60 HD,ריק,יח',0,0,,
468,711040,נתון חסר,מוצרי אריזה ו-T.A,שקית נייר דליה טייק אווי א-1/450,ארוז 450 יח',יח',0,0,,
481,7111011,נתון חסר,מוצרי אלומיניום,תבנית 80A ,ארוז 100 יח',יח',0,0,,
485,7111014,נתון חסר,מוצרי אלומיניום,תבנית 8B אלומיניום ,ארוז 100 יח',יח',0,0,,
490,711106,נתון חסר,מוצרי אלומיניום,תבנית 90 אלומיניום,ארוז 100 יח',יח',0,0,,
483,7111012,נתון חסר,מוצרי אלומיניום,תבנית גסטרונום גדולה ,ארוז 50 יח',יח',0,0,,
287,324247,נתון חסר,חומרי ניקוי,"תרסיס מתז קצף  מסיר שומנים  750 סמ""ק",ריק,יח',0,0,,
